,lexical_diversity,avg_word_length,syllable_density,readability_score,vowel_density,rhyme_diversity,avg_syllables_per_line,syllable_variance,most_common_meter,author,title,filename
Barahona_acteon,0.20786397449521785,4.439532412327312,1.7281615302869289,55.64603932567961,0.3619029012405978,1.0,16262.0,0.0,16262.0,"Barahona de Soto, Luis",Fábula de Acteón,Barahona_acteon.xml
Barahona_vertumno,0.2267631103074141,4.420614828209765,1.7265822784810128,57.23749800778498,0.36583819849874893,1.0,9548.0,0.0,9548.0,"Barahona de Soto, Luis",Fábula de Vertumnno y Pomona,Barahona_vertumno.xml
Bermudez_narciso,0.17287908680947012,5.079340473506201,1.9866121758737316,26.11136713217539,0.3632812726377097,1.0,56388.0,0.0,56388.0,"Bermúdez y Alfaro, Juan",El Narciso: flor traducida del Cefiso al Betis,Bermudez_narciso.xml
Bocangel_leandro,0.21391609683977084,4.531879504712623,1.8284975050822398,47.47929370314421,0.3663242295164119,1.0,19788.0,0.0,19788.0,"Bocángel, Gabriel",Fábula de Leandro y Hero,Bocangel_leandro.xml
Carrillo_acis,0.24954351795496044,4.495435179549604,1.7790626902008522,42.2831444638872,0.36462313784128036,1.0,5846.0,0.0,5846.0,"Carrillo y Sotomayor, Luis",Fábula de Acis y Galatea,Carrillo_acis.xml
Cetina_amorpsique,0.2337736932797243,4.361286616886846,1.736358414704193,52.93974394192912,0.3640649274120105,1.0,6046.0,0.0,6046.0,"Cetina, Gutierre de",La Psique,Cetina_amorpsique.xml
Espinosa_genil,0.2665799739921977,4.693758127438231,1.8088426527958388,38.680453658824945,0.35196711014674814,1.0,5564.0,0.0,5564.0,"Espinosa, Pedro",Fábula de Genil,Espinosa_genil.xml
Gongora_piramotisbe,0.5387355298308103,4.683437221727516,1.8682101513802316,37.267044253831784,0.36289564399874646,1.0,4196.0,0.0,4196.0,"Góngora, Luis de",Fábula de Píramo y Tisbe,Gongora_piramotisbe.xml
Gongora_polifemo,0.24444787168414558,4.579888957433683,1.8198642813078347,37.51894612379192,0.36076176787639236,1.0,11800.0,0.0,11800.0,"Góngora, Luis de",Fábula de Polifemo y Galatea,Gongora_polifemo.xml
Hurtadodemendoza_fabulaadonis,0.19779593387801633,4.463803914117424,1.7761732851985559,39.96588027366022,0.3634087391977187,1.0,18696.0,0.0,18696.0,"Mendoza, Diego Hurtado de","Fábula de Adonis, Hipómenes y Atalanta",Hurtadodemendoza_fabulaadonis.xml
